support,itemsets
0.23600225014063378,['tOR47i7wGbuHkGxkhX9tHItMHHuJtAttsvHDOjDRVOw=']
0.17847365460341272,['BG1RsWojzEHzV28RBm/1iKi1NyZgDcDomLYEJSV6lmo=']
0.15630976936058505,['EH35TxVqqCRWfd7C+kBleb4yHsq1ycppE5AvnX+WQBE=']
0.1402212638289893,['XG1pV3YZ4tnQkmvmVbwNYnm01m9sRhZovPW1qTPIGYI=']
0.1317082317644853,['oAoQyh9NT0lXlshN6sYYNSMTizpgCVqITEKcEthrDZU=']
0.12548284267766735,['EeAQRS+kGarrxqFWxO5U2lJ12zE7xgtIiHO9ojBNYpw=']
0.17131070691918246,"['tOR47i7wGbuHkGxkhX9tHItMHHuJtAttsvHDOjDRVOw=', 'BG1RsWojzEHzV28RBm/1iKi1NyZgDcDomLYEJSV6lmo=']"
0.14404650290643164,"['tOR47i7wGbuHkGxkhX9tHItMHHuJtAttsvHDOjDRVOw=', 'EH35TxVqqCRWfd7C+kBleb4yHsq1ycppE5AvnX+WQBE=']"
0.1378961185074067,"['EH35TxVqqCRWfd7C+kBleb4yHsq1ycppE5AvnX+WQBE=', 'BG1RsWojzEHzV28RBm/1iKi1NyZgDcDomLYEJSV6lmo=']"
0.13463341458841177,"['tOR47i7wGbuHkGxkhX9tHItMHHuJtAttsvHDOjDRVOw=', 'EH35TxVqqCRWfd7C+kBleb4yHsq1ycppE5AvnX+WQBE=', 'BG1RsWojzEHzV28RBm/1iKi1NyZgDcDomLYEJSV6lmo=']"
